电影名称,导演,主演,类型,制片国家/地区,时长,评分,评价人数
我要成名,刘国昌,刘青云&&霍思燕&&余安安&&郑伊健&&梁家辉&&周励淇&&薛凯琪&&曾国祥&&苏志威&&陈嘉上&&陈果&&许鞍华&&蔡一杰&&蔡一智&&方平,剧情&&喜剧,中国大陆,90,6.9,20559
数码宝贝大冒险tri.,元永庆太郎,花江夏树&&三森铃子&&细谷佳正&&田村睦心&&吉田仁美&&池田纯矢&&榎木淳弥&&市道真央&&坂本千夏&&重松花鸟&&山口真弓&&樱井孝宏&&山田木野子&&竹内顺子&&松本美和&&德光由禾,动画&&奇幻&&冒险,日本,87,6.9,7081
违命,塞巴斯蒂安·莱里奥,瑞秋·麦克亚当斯&&蕾切尔·薇兹&&亚历桑德罗·尼沃拉&&安东·莱瑟&&尼古拉斯·伍德森&&阿兰·柯德勒&&拉斯科·阿特金斯&&伯娜丝·斯戴杰斯&&索菲亚·布朗&&Cara Horgan&&Bernardo Santos&&Rene Costa&&Adam Lazarus&&多米尼克·阿普尔怀特&&阿丽科西丝·泽格曼,剧情&&爱情&&同性,美国,114,6.9,7993
狱中龙,郑则仕,刘德华&&何家劲&&黎姿&&程东&&龙方&&黄锦燊&&韩坤&&何家驹,动作&&犯罪,中国香港,102,6.9,3766
穿越火线,贾尼克·法伊济耶夫,斯维特兰娜·伊万诺娃&&弗拉季米尔·弗多维琴科夫&&尤里·库琴科&&马克西姆·马特维耶夫&&叶戈尔·别洛耶夫&&亚历山大·奥列什科&&阿列克塞·古斯科夫&&谢尔盖·加扎罗夫&&阿纳托利·比利&&莉迪娅·韦列热娃,剧情&&动作&&科幻&&战争,俄罗斯,105,6.8,9074
情人结,霍建起,赵薇&&陆毅&&宋晓英&&刘牧&&张谦&&崔敏捷&&邢佳栋&&伊春德&&张懿婧&&丁宇佳&&于淼,剧情&&爱情,中国大陆,113,6.7,21253
李碧华鬼魅系列：奇幻夜,陈嘉上,陈法拉&&林家栋&&泰迪·罗宾&&莫绮雯&&陈耀荣&&岑嘉其&&尹扬明&&关楚耀&&张国强&&谭淇淇,恐怖,中国香港,88,6.7,17040
每天回家都会看到老婆在装死,李斗士男,荣仓奈奈&&安田显&&大谷亮平&&野野澄花&&浅野和之&&品川彻&&萤雪次朗,喜剧,日本,115,6.7,8234
世贸中心,奥利佛·斯通,尼古拉斯·凯奇&&玛丽亚·贝罗&&康勒·帕奥罗&&摩根·弗林恩&&迈克尔·佩纳&&阿曼德·里斯科&&杰伊·埃尔南德斯&&乔·博恩瑟&&尼克·丹米奇&&祖德·塞克利拉&&内德·艾森伯格&&尼古拉斯·特图罗&&丹尼·努齐&&马克·埃利奥特·威尔逊&&托妮·赛普里斯&&汤姆·怀特&&艾德·朱厄特&&玛吉·吉伦哈尔&&布拉德·威廉姆·亨克&&帕蒂·达班维尔&&唐纳·墨菲&&尼基·凯特&&金伯利·斯科特&&格里格瑞·贾巴拉&&迈克尔·珊农&&乔丹·拉戈&&沃斯·史蒂文斯&&皮特·麦克罗比&&多罗蒂·林曼&&朱莉·亚当斯&&杰·阿克沃内&&阿瑟·J·纳斯加勒拉&&威廉·麦鲍瑟&&斯蒂芬·多尔夫&&弗兰克·威利&&格雷格·科林斯&&罗杰·R.克劳斯&&加里·斯加奇&&维奥拉·戴维斯&&库尔特·卡塞雷斯,剧情&&传记&&历史&&灾难,美国,129,6.6,18877
精装追女仔之2,王晶,刘德华&&陈百祥&&冯淬帆&&李美凤&&黄韵诗&&刘嘉玲&&曾志伟&&颜宁,喜剧&&爱情,中国香港,93,6.6,6549
忽然七日,莱·拉索-扬,佐伊·达奇&&豪斯顿·塞奇&&洛根·米勒&&凯恩·罗利&&埃莱娜·康博里斯&&吴辛惠&&米达宁·拉希米&&埃丽卡·特伦布莱&&丽芙·休森&&尼古拉斯·李&&切尔西·蔻儿·吉尔&&罗恩·柯蒂斯&&克莱尔·玛格丽特·克里特&&凯拉·孔多&&阿丽尔·图里奥,剧情&&悬疑,美国,99,6.6,9217
生化寿尸,叶伟信,陈小春&&李灿森&&张锦程&&黎耀祥&&汤盈盈&&黎淑贤&&邹凯光,喜剧&&恐怖,中国香港,94,6.6,6824
烈火战车2：极速传说,刘伟强,郑伊健&&张柏芝&&林熙蕾&&谭耀文&&任达华&&林晓峰&&陈豪&&车婉婉&&姜大卫&&柯受良,动作&&惊悚,中国香港,109,6.6,6055
独家记忆番外之相信爱,刘畅,孙嘉灵&&李九霄&&张超&&李婷婷&&陈博豪&&张樟&&邓郁立,爱情,中国大陆,86,6.5,4244
凯撒万岁,伊桑·科恩,乔什·布洛林&&乔治·克鲁尼&&阿尔登·埃伦瑞奇&&拉尔夫·费因斯&&乔纳·希尔&&斯嘉丽·约翰逊&&弗兰西斯·麦克多蒙德&&蒂尔达·斯文顿&&查宁·塔图姆&&麦克斯·贝克&&海瑟·戈尔登赫什&&克里斯多弗·兰伯特&&费舍·史蒂芬斯&&克兰西·布朗&&伊恩·布莱克曼&&弗雷德·迈拉麦德&&阿格妮丝·迪恩&&派特里克·费斯克勒&&罗伯特·皮卡多&&亚历克斯·卡普夫斯基&&杰弗里·坎特尔&&皮特·杰森&&艾米丽·比查姆&&蒂芙尼·朗斯代尔&&汤姆·马斯格雷夫&&迈克尔·刚本,喜剧&&悬疑&&歌舞,英国,106,6.4,12980
人面兽心,卢克·格林菲德,罗伯·施奈德&&科琳·哈斯克尔&&爱德华·阿斯纳&&约翰·C·麦金雷&&斯科特·威尔森&&马镇金&&亚当·桑德勒,喜剧,美国,84,6.4,11430
龙之战,高峰,刘佩琦&&曹云金&&罗昱焜&&李子雄,动作&&历史&&战争,中国大陆,112,6.4,7210
超人3,理查德·莱斯特,克里斯托弗·里夫&&理查德·普赖尔&&杰基·库珀&&马克·麦克卢尔&&安妮特·奥图&&安妮·罗斯&&帕梅拉·斯蒂芬森&&罗伯特·沃恩&&玛戈·基德,动作&&科幻&&冒险,英国,125,6.4,4317
死亡占卜2：恶灵始源,迈克·弗拉纳根,安娜丽丝·巴索&&伊莉莎白·里瑟&&露露·威尔逊&&亨利·托马斯&&帕克·马克&&道格·琼斯&&切斯拉·冈萨雷兹&&林肯·梅尔彻&&尼可拉斯·肯南&&迈克尔·韦弗&&艾利·凯特斯&&伊芙·戈登&&查德·赫弗芬格&&妮娜·曼斯克&&约翰·普洛斯凯,恐怖,美国,99,6.4,6465
天地玄门,叶成康,林正英&&王祖贤&&成奎安&&黄秋生&&黄一山&&左颂升&&高飞&&刘兆铭&&许绍雄,奇幻,中国香港,90,6.4,4341
暂告安全,鲍兹·亚金,杰森·斯坦森&&克里斯·萨兰登&&罗伯特·约翰·伯克&&吴汉章&&安松·蒙特&&雷吉·李&&凯瑟琳·陈,动作&&惊悚&&犯罪,美国,94,6.3,15133
九一神雕侠侣,元奎,刘德华&&梅艳芳&&郭富城&&叶蕴仪&&刘嘉玲,剧情&&动作&&爱情&&科幻&&奇幻,中国香港,92,6.3,7511
水浒笑传,高志森,许冠杰&&吴孟达&&毛舜筠&&许冠英&&沈殿霞&&黄光亮&&黄百鸣,喜剧&&古装,中国香港,84,6.3,6798
新猛鬼街,塞缪尔·贝尔,杰基·厄尔·哈利&&鲁妮·玛拉&&凯尔·加尔纳&&凯蒂·卡西迪&&托马斯·戴克&&凯南·鲁兹&&克兰西·布朗&&康妮·布里登,惊悚&&恐怖,美国,95,6.1,13360
234说爱你,张玮真,秦昊&&林依晨&&简宏霖&&蔡淑臻&&周姮吟&&曾珮瑜,爱情,中国台湾,95,6.1,9602
灵偶契约,威廉·布伦特·贝尔,劳伦·科汉&&鲁珀特·伊文斯&&吉姆·诺顿&&黛安娜·哈卡索&&本·罗伯森&&詹姆斯·罗素&&杰特·克莱恩&&莉莉·佩特&&马修·沃克&&斯蒂芬妮·勒梅林,恐怖,美国,97,6.1,10615
恐怖故事2,金成浩,李洙赫&&金瑟祺&&白珍熙&&金智媛&&盛骏&&朴圣雄&&郑仁仙,恐怖,韩国,96,6.0,7375
表妹,杨浩烨,刘智苑&&朴善宇&&韩娜&&金正申&&基昂&&金炯民&&权范泽,剧情&&爱情&&情色,韩国,90,5.8,950
杀手餐厅,蜷川实花,藤原龙也&&玉城蒂娜&&洼田正孝&&本乡奏多&&武田真治&&斋藤工&&佐藤江梨子&&金子统昭&&小栗旬&&土屋安娜&&真矢美纪&&奥田瑛二,剧情&&动作,日本,117,5.5,3227
数码宝贝大冒险tri.,元永庆太郎,花江夏树&&三森铃子&&细谷佳正&&田村睦心&&吉田仁美&&榎木淳弥&&池田纯矢&&市道真央&&荒川美穗&&坂本千夏&&重松花鸟&&山口真弓&&樱井孝宏&&山田木野子&&松本美和&&竹内顺子&&德光由禾&&森下由树子&&浪川大辅&&青山穰&&武内骏辅&&松泽千晶&&千叶进步&&小松郁&&岩濑周平&&小林直人&&井上宝&&滨田洋平&&平田广明,科幻&&动画&&冒险,日本,98,5.3,3473
碟仙,廉涛,黄奕&&范逸臣&&程小夏&&吴烨&&马卷卷&&刘晨霞&&曾韵蓁&&何佳颖&&张天柏&&鹿嘉豪,惊悚&&恐怖,中国大陆,83,5.2,5128
年轻的嫂子2,김태수,韩佳熙&&李恩美,情色,韩国,82,5.2,1153
百变爱人,叶念琛,王祖蓝&&王菀之&&许冠文&&王敏德&&元秋&&薛家燕&&庄思敏&&龙小菌&&方力申&&郭伟亮&&蔡瀚亿&&王李丹妮,喜剧&&爱情,中国香港,101,4.5,4241
天生不对,谷德昭,周渝民&&薛凯琪&&郑中基&&恬妞&&高捷&&盛朗熙,喜剧&&爱情,中国大陆,99,4.0,7639
车在囧途,华原,郭德纲&&许绍洋&&张馨予&&王一楠,喜剧&&爱情,中国大陆,90,3.9,17053
美森谷地,王思,,剧情,中国大陆,147,,
伊丽莎白,SvenOffen,玛雅·哈克福特&&Máté Kamarás&&安德烈 鲍尔,剧情&&歌舞,奥地利,140,9.6,3722
极限公益联欢会,严敏MinYan,张艺兴&&罗志祥&&黄渤&&黄磊&&孙红雷&&王迅&&庾澄庆&&蔡依林&&林俊杰&&杨魏玲花&&曾毅,音乐&&歌舞&&真人秀,中国大陆,88,9.2,3934
邮差,迈克尔·莱德福,菲利普·努瓦雷&&马西莫·特洛伊西&&玛丽亚·格拉齐亚·库奇诺塔&&雷纳托·斯卡帕&&琳达·莫雷蒂,剧情&&喜剧&&爱情&&传记,意大利,108,8.8,14501
史密斯先生到华盛顿,弗兰克·卡普拉,詹姆斯·斯图尔特&&琪恩·亚瑟&&克劳德·雷恩斯&&爱德华·阿诺德&&托马斯·米切尔,剧情,美国,129,8.7,7896
乌鸦与麻雀,郑君里,赵丹&&上官云珠&&孙道临&&李天济&&黄宗英&&魏鹤龄&&吴茵&&王蓓,剧情,中国大陆,106,8.6,5634
我亲爱的甜橙树,马科斯·伯恩斯坦,João Guilherme de Ávila&&José de Abreu&&Fernanda Vianna&&Eduardo Dascar,剧情,巴西,99,8.5,2538
血战台儿庄,杨光远,邵宏来&&初国梁&&江化霖,战争,中国大陆,120,8.4,6239
戏梦人生,侯孝贤,蔡振南&&洪流&&黄倩茹&&李天禄&&林强&&杨丽音,剧情&&传记&&战争,中国台湾,142,8.4,5821
宝莱坞生死恋,桑杰·里拉·彭萨里,沙鲁克·汗&&艾西瓦娅·雷&&玛杜丽·迪克西特,剧情&&爱情&&歌舞,印度,182,8.3,10490
X圣治,黑泽清,役所广司&&萩原圣人&&氏木毅&&中川安奈&&洞口依子&&绪方义博&&大杉涟&&诹访太朗&&田中哲司,悬疑&&惊悚&&恐怖&&犯罪,日本,111,8.2,7449
伯纳德行动,斯戴芬·卢佐维茨基,卡尔·马克维斯&&奥古斯特·迪赫&&大卫·史崔梭德&&Martin Brambach&&Veit Stübner,剧情&&战争&&犯罪,德国,98,7.9,22493
团圆,王全安,卢燕&&凌峰&&徐才根&&马晓晴&&莫小棋,剧情&&家庭,中国大陆,97,7.9,10898
鳗鱼,今村昌平,役所广司&&清水美沙&&常田富士男&&倍赏美津子&&佐藤允&&哀川翔&&小林健&&河原萨布&&寺田千穂&&中丸新将&&平泉成&&仓崎青儿&&石堂淑朗&&深水三章&&上田耕一&&光石研&&小西博之&&田口智朗&&小泽昭一&&市原悦子&&柄本明,剧情&&犯罪,日本,117,7.9,9481
秘密,泷田洋二郎,广末凉子&&小林薰&&岸本加世子&&石田百合子&&伊藤英明&&金子贤,剧情&&奇幻,日本,119,7.8,18037
破碎之花,吉姆·贾木许,比尔·默瑞&&朱莉·德尔佩&&希瑟·西姆斯&&莎朗·斯通&&杰西卡·兰格&&蒂尔达·斯文顿&&杰弗里·怀特&&梅瑞狄斯·帕特森&&珍妮弗·拉普&&瑞恩·唐洛胡&&阿丽西丝·泽纳,剧情&&喜剧&&悬疑,美国,106,7.8,14368
亚飞与亚基,柯受良,梁朝伟&&张学友&&袁咏仪&&曾志伟&&汤镇业&&陆剑明,喜剧,中国香港,91,7.7,12726
相见恨早,奈吉·柯尔,阿曼达·皮特&&阿什顿·库彻&&塔恩·曼宁&&埃美·加西亚&&Gabriel Mann,剧情&&喜剧&&爱情,美国,107,7.6,36263
最美年华,克洛德·勒卢什,让-路易·特兰蒂尼昂&&阿努克·艾梅&&玛丽安娜·德尼库尔&&莫妮卡·贝鲁奇&&苏德·阿米多&&Antoine Sire&&Tess Lauvergne&&Vincent Vinel&&Bernard Warnas&&Laurent Dassault&&Laurent Prudhomme&&Benjamin Patou&&Jean-Yves Cressenville,剧情&&爱情,法国,90,7.6,429
恋恋书中人,乔纳森·戴顿,保罗·达诺&&佐伊·卡赞&&安妮特·贝宁&&克里斯·梅西纳&&安东尼奥·班德拉斯&&阿西夫·曼德维&&史蒂夫·库根&&托尼·特拉克斯&&黛博拉·安沃尔,喜剧&&爱情&&奇幻,美国,104,7.5,35936
世界奇妙物语,植田泰史,三浦春马&&白石麻衣&&仓科加奈&&唐泽寿明&&升毅&&佐久间由衣,科幻&&悬疑&&惊悚&&恐怖,日本,106,7.4,9451
鸦片战争,谢晋,鲍国安&&林连昆&&苏民&&郎雄&&邵昕&&姜华&&鲍勃·佩克&&西蒙·威廉姆斯,剧情&&历史&&战争,中国大陆,153,7.4,5355
37秒,宮崎光代,佳山明&&神野三铃&&大东骏介&&渡边真起子&&熊篠慶彦&&萩原实里&&宇野祥平&&芋生悠&&涩川清彦&&奥野瑛太&&石桥静河&&尾美利德&&板谷由夏,剧情,日本,115,7.4,3117
拉贝日记,佛罗瑞·加仑伯格,乌尔里希·图库尔&&丹尼尔·布鲁尔&&史蒂夫·布西密&&张静初&&香川照之&&安妮·康斯金尼&&达格玛·曼泽尔&&Mathias Herrmann&&杉本哲太&&柄本明&&井浦新&&肖恩·劳顿&&Christian Rodska&&高夫莱德·约翰,剧情&&传记&&历史&&战争,法国,134,7.3,24994
呼吸,金基德,张震&&姜仁亨&&河正宇&&金基德&&朴智娥,剧情,韩国,84,7.3,17506
佳人蓓尔,阿马·阿桑特,马修·古迪&&劳拉·朱利安-博克斯&&艾伦·麦肯纳&&佩内洛普·威尔顿&&艾米丽·沃森&&汤姆·威尔金森&&莎拉·加顿&&古古·姆巴塔-劳&&米兰达·理查森&&詹姆斯·诺顿&&汤姆·费尔顿&&萨姆·里德&&詹姆斯·诺斯科特,剧情,英国,104,7.3,3132
感官游戏,大卫·柯南伯格,詹妮弗·杰森·李&&裘德·洛&&伊安·霍姆&&威廉·达福&&唐·麦凯勒&&考乐姆·吉斯·雷尼&&克里斯托弗·埃克莱斯顿&&萨拉·波莉&&Robert A. Silverman&&Oscar Hsu&&克里斯·勒姆彻&&维克·萨海&&Kirsten Johnson&&斯蒂芬妮·贝尔丁,科幻&&惊悚&&冒险,加拿大,97,7.1,10791
中毒,朴英勋,李秉宪&&李美妍&&郑仁基&&李臬&&朴善英&&姜艺媛,剧情&&爱情&&悬疑&&惊悚,韩国,110,7.1,10949
忍之国,中村义洋,大野智&&石原里美&&铃木亮平&&知念侑李&&槙田雄司&&平祐奈&&满岛真之介&&绪方义博&&古关安广&&立川谈春&&国村隼&&伊势谷友介,喜剧&&动作&&战争,日本,125,7.0,10366
最终幻想：灵魂深处,坂口博信,温明娜&&亚历克·鲍德温&&文·瑞姆斯&&史蒂夫·布西密&&佩里·吉普林&&唐纳德·萨瑟兰&&詹姆斯·伍兹&&凯斯·大卫&&简·西蒙斯&&Matt McKenzie,动作&&科幻&&动画&&惊悚&&奇幻&&冒险,美国,106,6.9,12647
超人王朝,刘山姆,杰瑞·奥康奈尔&&丽贝卡·罗梅恩&&雷恩·威尔森&&帕特里克·法比安&&查尔斯·哈尔福德&&卡梅隆·莫纳汉&&克莱斯·威廉斯&&罗莎里奥·道森&&内森·菲利安&&克里斯托弗·戈勒姆&&谢默·摩尔&&尼扬比·尼扬比&&杰森·奥玛拉&&洛奇·卡罗尔&&特雷弗·德瓦&&保罗·伊丁&&詹妮弗·黑尔&&艾丽卡·鲁特雷尔&&马克斯·迈特尔曼&&托克斯·奥拉贡多耶&&托尼·托德&&布兰达·斯特朗,动作&&科幻&&动画,美国,87,6.9,5628
殉难者,巴斯卡·劳吉哈,莫贾娜·埃尔阿劳维&&米兰妮·让帕诺米&&Catherine Bégin&&Robert Toupin&&帕翠西卡·图拉斯内&&朱丽叶特·高斯林&&泽维尔·多兰&&Louise Boisvert&&Jean-Marie Moncelet&&Jessie Pham&&Hervé Desbois,剧情&&惊悚&&恐怖,法国,99,6.8,10484
黑钱,郑智泳,赵震雄&&李荷妮&&李璟荣&&姜信日&&崔德门&&赵汉哲&&许成泰&&尹振永&&李星民&&文成根&&柳承秀,剧情&&犯罪,韩国,113,6.7,2553
新丧尸出笼,史蒂夫·迈纳,米娜·苏瓦丽&&尼克·卡农&&迈克·韦尔奇&&安娜琳·麦考德&&斯塔克·桑德斯&&马特·里皮&&文·瑞姆斯,惊悚&&恐怖,美国,86,6.5,14707
解冻,李受妍,赵震雄&&金大明&&申久&&宋永彰&&李清娥,惊悚&&犯罪,韩国,117,6.5,6857
危机：龙潭之战,科里夫·斯丹德斯,崔维斯·费米尔&&卢克·布雷西&&理查德·劳斯伯格&&丹尼尔·韦伯,剧情&&动作&&战争,澳大利亚,118,6.5,3651
地狱解剖,凯瑟琳·布雷亚,洛可·希佛帝&&阿蜜拉·卡萨&&亚历山大·贝兰&&Manuel Taglang&&Jacques Monge,剧情&&情色,法国,77,6.4,13771
安全邻域,克里斯·佩寇维,奥利维亚·德容格&&维吉妮娅·马德森&&帕特里克·沃伯顿&&戴克·蒙哥马利&&莱维·米勒&&艾德·奥克森博尔德&&亚历克斯·米基克&&塔拉·杰德·博格&&布伦丹·克莱金&&崔西娅·玛丽·亨尼西,喜剧&&恐怖,美国,89,6.4,7121
辣手回春,杜琪峰,郑伊健&&张柏芝&&陈小春&&许绍雄&&林雪&&林蛟&&黄浩然&&黄文慧,喜剧,中国香港,92,6.2,6718
摩根,卢克·斯科特,凯特·玛拉&&安雅·泰勒-乔伊&&露丝·莱斯利&&迈克尔·耶尔&&托比·琼斯&&克里斯·沙利文&&波伊德·霍布鲁克&&雯叶特·罗宾逊&&杨紫琼&&布莱恩·考克斯&&詹妮弗·杰森·李&&保罗·吉亚玛提&&克里斯皮安·贝尔弗雷奇&&乔纳森·阿里斯,科幻&&悬疑&&惊悚,美国,92,6.2,7224
失踪女孩,丽兹·加巴斯,托马辛·麦肯齐&&艾米·莱安&&迪恩·文特斯&&米利亚姆·肖尔&&加布里埃尔·伯恩&&罗拉·科克&&罗莎尔·卡农&&凯文·考利甘&&乌娜·劳伦斯&&奥丝汀·约翰森&&里德·伯尼&&布莱恩·亚当·德耶稣&&斯坦·卡普&&乔恩·贝瑞&&Karan Choudhary&&Molly Brown&&Harvey B. Jackson&&Jimi Stanton,剧情&&悬疑&&惊悚,美国,95,6.2,1640
末日侵袭,尼尔·马歇尔,罗娜·迈特拉&&鲍勃·霍斯金斯&&亚历山大·希迪格&&艾德里安·莱斯特&&西恩·帕特维,动作&&科幻&&惊悚,英国,105,6.1,11364
爱出色,陈奕利,姚晨&&刘烨&&陈冲&&朱虹&&莫小棋&&王喜&&苏芒&&洪晃&&高圆圆&&吕燕&&俞飞鸿&&Zing&&岳敏君&&林琳奇,喜剧&&爱情,中国大陆,101,5.9,45992
神秘感染,艾瑞克·英格兰德,娜嘉拉·汤森德&&爱丽丝·麦克唐纳&&查理·孔茨&&西蒙·巴雷特&&卡罗琳·威廉姆斯&&凯蒂·斯特格曼&&马修·默瑟&&戴夫·霍姆斯&&安德烈·博耶,剧情&&惊悚&&恐怖,美国,84,5.9,8952
九二神雕之痴心情长剑,元奎,刘德华&&关之琳&&元奎&&吴耀汉&&关淑怡,喜剧&&爱情&&奇幻&&武侠,中国香港,92,5.9,5157
美国刺客,迈克尔·科斯塔,迪伦·奥布莱恩&&迈克尔·基顿&&泰勒·克奇&&桑娜·莱瑟&&希娃·尼加&&斯科特·阿金斯&&特雷弗·怀特&&穆罕默德·巴克里&&夏洛特·维嘉&&巴斯特·雷维斯&&杰夫·戴维斯&&大卫·苏切&&迈克尔·怀德曼&&纳维德·内加班&&悉德妮·怀特&&阿拉·萨菲,动作&&惊悚,美国,111,5.9,5500
生死时速2：海上惊情,扬·德·邦特,桑德拉·布洛克&&杰森·帕特里克&&威廉·达福&&特穆拉·莫里森,动作&&爱情&&惊悚,美国,121,5.8,6660
山村老尸2：色之恶鬼,蓝志伟,王合喜&&万绮雯&&张慧仪&&陈炜&&陈彦行,恐怖,中国香港,77,5.7,7702
幸运日,罗杰·阿夫瑞,妮娜·杜波夫&&克里斯平·格洛弗&&卢克·布雷西&&小克利夫顿·克林斯&&科勒·班尼特&&大卫·休莱特&&马克·达卡斯考斯&&罗伯托·坎帕内利亚&&托莫·希思黎&&娜迪亚·法尔丝&&何超仪&&达林·贝克,惊悚,加拿大,99,5.6,666
巴黎宝贝,王菁,邓超&&珍·玛奇&&让-巴蒂斯特·莫尼耶&&刘宸希&&伊能静&&程前&&方青卓&&克莱曼斯·圣-皮瑞,剧情&&喜剧&&爱情,中国大陆,92,5.5,22271
飞鹰,马楚成,杨紫琼&&李冰冰&&任贤齐&&鲁克·高斯&&张卓楠&&陈大明&&岩城滉一&&布兰登·雷亚,动作&&冒险,中国香港,99,5.2,18760
黑猫警长之翡翠之星,于胜军,赵路&&吴天昊&&林子杰&&刘莹&&程玉珠&&李传缨&&詹佳&&陶典&&施佳加&&于胜军&&戴佳峄&&戴超航&&刘圣博&&殷筱瑜&&张彦东&&张拯&&关睿&&史学刚,喜剧&&动作&&科幻&&动画,中国大陆,83,5.2,5853
超时空救兵,林子聪,霍建华&&景甜&&郭品超&&郝好&&林子聪&&孙浩&&林雪&&田启文&&张达明,喜剧&&动作&&科幻,中国大陆,90,5.0,7982
医生,金成洪,金昌完&&裴素恩,惊悚,韩国,97,4.8,4702
锦衣之下之绣春刀,榘庭,魏冠男&&张昕宇&&赵菁&&秦楚明&&孟飞&&漆培鑫&&王梓旭,剧情&&历史&&武侠&&古装,中国大陆,85,4.4,1208
将错就错,王宁,小沈阳&&田亮&&陈小春&&熊黛林&&李诚儒&&钟丽缇&&英达&&范文芳&&王佳鑫&&张海燕&&李勤勤&&刘亚津&&关凌&&赵亮&&王李丹妮&&刘晶&&赵文琪&&王新宇&&捷盖&&王宁,喜剧&&爱情,中国大陆,92,3.9,9320
仙球大战,刘镇伟,何炅&&钟欣潼&&蔡卓妍&&邓丽欣&&马丽&&杜海涛&&李维嘉&&吴昕&&林子聪&&李菁&&元奎&&袁祥仁&&沈凌&&刘维,喜剧,中国大陆,84,2.5,5805
嫁给大山的女人,胡明钢,王力可&&施展&&村里,剧情,中国大陆,88,2.1,7259
疯狂老爹,曹华,杨轶&&潘长江&&南吉,剧情&&喜剧&&运动,中国大陆,,,
学长，我看你好眼熟,徐温柔,单良&&唐洁&&熊有东&&孙君欣&&曹清&&陈奕萱&&秦露露,爱情,中国大陆,,,
普拉吉布雷劳,PatrykVega,Karol Bedorf,动作&&惊悚&&犯罪,波兰,105,,
麦秋,小津安二郎,原节子&&笠智众&&淡岛千景&&三宅邦子&&菅井一郎&&东山千荣子&&杉村春子&&井川邦子&&二本柳宽&&佐野周二&&高桥丰子&&宫口精二&&高堂国典,剧情&&家庭,日本,124,8.8,7997
雁南飞,米哈依尔·卡拉托佐夫,塔吉娅娜·萨莫依洛娃&&阿列克谢·巴塔洛夫&&瓦西里·梅尔库里耶夫&&亚历山大·施沃林&&Svetlana Kharitonova&&Konstantin Kadochnikov&&瓦连京·祖布科夫&&安东宁娜·波格丹诺娃&&鲍里斯·科科夫金&&Ekaterina Kupriyanova&&Valentina Ananyina&&彼得·梅尔库里耶夫&&丹尼尔·涅特列宾&&瓦莲京娜·弗拉基米罗娃,剧情&&爱情&&战争,苏联,95,8.6,7516
伤物语3：冷血篇,新房昭之,神谷浩史&&坂本真绫&&堀江由衣&&樱井孝宏&&入野自由&&江原正士&&大塚芳忠,喜剧&&动画&&奇幻,日本,83,8.6,4281
岸边露伴一动不动,加藤敏幸,櫻井孝宏&&种崎敦美&&間島淳司,剧情&&动画&&惊悚,日本,,8.6,922
海蒂,埃兰·德万(AllanDwan),秀兰·邓波儿 (Shirley Temple)&&Jean Hersholt,剧情&&家庭,美国,88,8.5,5685
哆啦A梦：大雄与白金迷宫,芝山努,大山信代&&小原乃梨子&&立壁和也&&肝付兼太&&野村道子,科幻&&动画&&冒险,日本,100,8.5,3923
大幻影,让·雷诺阿,埃里克·冯·施特罗海姆&&让·迦本&&迪塔·帕尔洛&&朱利安·卡莱特,剧情&&战争,法国,114,8.4,6550
王子复仇记,劳伦斯·奥利弗,劳伦斯·奥利弗&&巴兹尔·悉尼&&艾琳·赫利&&诺曼·伍德兰&&费利克斯·艾尔默&&泰伦斯·摩根&&简·西蒙斯&&约翰·劳里&&埃斯蒙德·奈特&&安东尼·奎尔&&尼尔·麦吉尼斯&&克里斯托弗·李&&哈考特·威廉姆斯&&帕特里克·特罗&&托尼·塔弗&&彼得·库欣&&斯坦利·霍洛威&&罗素·桑代克,剧情,英国,155,8.3,9151
黄阿丽：铁娘子,杰伊·卡拉斯,黄阿丽,喜剧&&脱口秀,美国,64,8.3,8942
远方,努里·比格·锡兰,穆扎菲·奥德默&&伊敏·托普拉克&&歇沃·简恩瑟&&娜赞·克萨尔&&弗里敦考克&&法蒂玛赛纶&&埃布鲁·锡兰&&诺海尔琛瑟勒&&纳兹莉艾顿&&埃根派瑟夫&&厄康·吉赛尔&&阿斯力奥尔亨&&艾哈迈德比尤盖恩&&艾瑞福阿西&&萨摩迪阿斯&&艾哈迈德奥哉奥莱特&&埃尔汗奥索维&&哈坎库腾&&艾恩恩戈尔索,剧情,土耳其,110,8.3,7444
哆啦A梦：大雄与龙骑士,芝山努,大山信代&&小原乃梨子&&野村道子&&立壁和也&&肝付兼太,科幻&&动画&&冒险,日本,89,8.3,4041
小鹿斑比2,BrianPimental,Patrick Stewart&&Alexander Gould&&Keith Ferguson,动画&&家庭,美国,74,8.3,2858
星际宝贝：终极任务,托尼·克莱格,黛维·切斯&&克里斯·桑德斯&&戴维·奥格登·施蒂尔斯&&凯文·麦克唐纳德&&蒂亚·卡雷尔&&凯文·迈克尔·理查德森&&罗伯·鲍森&&杰夫·贝内特&&佐伊·考德威尔&&博卡·格德斯维特&&吉莲·亨利&&莉莉·石田&&特蕾丝·麦克尼尔&&罗基·麦克默里&&莉莉娜·穆米&&文·瑞姆斯&&黛布拉·罗杰斯&&道格·斯通&&塔拉·斯特朗&&卡莉·怀特赫斯特,喜剧&&科幻&&动画&&家庭&&冒险,美国,73,8.3,2609
