电影名称,导演,主演,类型,制片国家/地区,时长,评分,评价人数
复仇者联盟3：无限战争,安东尼·罗素,小罗伯特·唐尼&&克里斯·海姆斯沃斯&&克里斯·埃文斯&&马克·鲁弗洛&&乔什·布洛林&&佐伊·索尔达娜&&本尼迪克特·康伯巴奇&&克里斯·帕拉特&&汤姆·赫兰德&&伊丽莎白·奥尔森&&保罗·贝坦尼&&斯嘉丽·约翰逊&&查德维克·博斯曼&&塞巴斯蒂安·斯坦&&唐·钱德尔&&汤姆·希德勒斯顿&&安东尼·麦凯&&本尼迪克特·王&&戴夫·巴蒂斯塔&&布莱德利·库珀&&范·迪塞尔&&凯伦·吉兰&&利蒂希娅·赖特&&庞·克莱门捷夫&&凯莉·库恩&&汤姆-沃恩-劳勒&&海登·瓦尔希&&迈克尔·詹姆斯·肖&&泰瑞·诺塔里&&本尼西奥·德尔·托罗&&彼特·丁拉基&&罗斯·马昆德&&丹娜·奎里拉&&温斯顿·杜克&&弗洛伦丝·卡松巴&&塞缪尔·杰克逊&&雅各布·巴特朗&&斯坦·李,动作&&科幻&&奇幻&&冒险,美国,149,8.1,657069
夏洛特烦恼,闫非,沈腾&&马丽&&尹正&&艾伦&&王智&&田雨&&宋阳&&常远&&李萍&&李立群&&张一鸣&&马小茜&&赵震&&董良瑜&&刘坤&&黄才伦&&陈昊明&&陆林洁&&王成思&&刘金&&刘立东&&杨欢&&宁幻秋&&温森&&陶柏&&许猛&&嫣红&&刘叶舟&&王硕&&马驰&&周展翅&&周华安&&顾佳欣&&易波&&一戈&&姜田丰&&郭恩强&&常世奎&&于健&&王琦&&赵雪&&陶亮&&黄杨&&陆羊&&王军&&刘子凡&&刘笑竹&&卢莹&&张广洁&&方菲菲&&许登雨&&朱波&&肖扬&&魏翔&&江夏&&吴江&&张辰&&王野&&贾悦明&&王翡&&简姗姗&&申琴子&&尹星人&&桂百惠&&管亚鑫&&彭泽言&&王思浩&&关鹏&&桂琛&&朱磊&&徐贤任&&田川&&李哲,喜剧&&爱情,中国大陆,104,7.6,656363
超能陆战队,唐·霍尔,斯科特·安第斯&&瑞恩·波特&&丹尼尔·海尼&&T·J·米勒&&杰米·钟&&小达蒙·韦恩斯&&珍尼希斯·罗德里格兹&&詹姆斯·克伦威尔&&艾伦·图代克&&玛娅·鲁道夫&&亚布拉哈姆·本鲁比&&凯蒂·洛斯&&比利·布什&&丹尼尔·吉尔森&&保罗·布里格斯,喜剧&&动作&&科幻&&动画&&冒险,美国,102,8.7,695044
触不可及,奥利维埃·纳卡什,弗朗索瓦·克鲁塞&&奥玛·希&&安娜·勒尼&&奥德雷·弗勒罗&&托马·索利韦尔,剧情&&喜剧,法国,112,9.2,703720
美人鱼,周星驰,邓超&&罗志祥&&张雨绮&&林允&&徐克&&吴亦凡&&李尚正&&卢正雨&&白客&&孔连顺&&田启文&&文章&&杨能&&张美娥&&李叶青&&林子聪&&赵志凌&&郑冀峰&&钱国伟&&范淑珍&&艾文·科蒂克&&松冈李那&&徐轸轸&&夏尉喻&&皮埃尔·布迪厄&&孙嘉灵&&许雅婷&&赵靖伊&&付骏福&&虞嘉娜&&宁小花&&易志乐&&孙乐天,喜剧&&爱情&&奇幻,中国大陆,93,6.7,629460
剪刀手爱德华,蒂姆·波顿,约翰尼·德普&&薇诺娜·瑞德&&黛安·韦斯特&&安东尼·迈克尔·豪尔&&凯西·贝克&&罗伯特·奥利维里&&康查塔·费雷尔&&卡罗琳·阿隆&&迪克·安东尼·威廉姆斯&&澳澜·琼斯&&文森特·普莱斯&&艾伦·阿金&&苏珊·布洛马特&&约翰·戴维森&&Bryan Larkin&&Victoria Price&&Stuart Lancaster&&Gina Gallagher&&阿隆·鲁斯汀&&阿兰·弗吉&&史蒂文·布里尔&&Peter Palmer&&马克·麦考利&&唐娜·派洛尼&&Ken DeVaul&&Kathy Dombo&&Tabetha Thomas&&尼克·卡特,剧情&&爱情&&奇幻,美国,105,8.7,796775
喜剧之王,周星驰,周星驰&&张柏芝&&莫文蔚&&吴孟达&&林子善&&田启文&&李兆基&&成龙&&李思捷&&郑文辉,剧情&&喜剧&&爱情,中国香港,89,8.7,657297
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林,平采娜·乐维瑟派布恩&&马里奥·毛瑞尔&&苏达拉·布查蓬&&雅尼卡·桑普蕾舞&&诺特·阿查拉那·阿瑞亚卫考&&皮拉瓦特·赫拉巴特&&普特鹏·普罗萨卡·那·萨克那卡林&&华森·波克彭,剧情&&喜剧&&爱情,泰国,118,8.4,753483
天空之城,宫崎骏,田中真弓&&横泽启子&&初井言荣&&寺田农&&常田富士男&&永井一郎&&糸博&&鹫尾真知子&&神山卓三&&安原义人&&槐柳二&&鳕子,动画&&奇幻&&冒险,日本,125,9.1,600607
致命ID,詹姆斯·曼高德,约翰·库萨克&&雷·利奥塔&&阿曼达·皮特&&约翰·浩克斯&&阿尔弗雷德·莫里纳&&克里·杜瓦尔&&约翰·C·麦金雷&&威廉姆·李·斯科特&&杰克·布塞&&普路特·泰勒·文斯&&瑞贝卡·德·莫妮&&卡门·阿尔根齐亚诺&&马绍尔·贝尔&&莱拉·肯泽尔&&马特·莱斯切尔&&布莱特·罗尔&&霍尔姆斯·奥斯本&&弗雷德里克·科芬&&Joe Hart&&Michael Hirsch&&泰伦斯·伯尼·海恩斯 ,剧情&&悬疑&&惊悚,美国,90,8.8,553376
哈利·波特与密室,克里斯·哥伦布,丹尼尔·雷德克里夫&&艾玛·沃森&&鲁伯特·格林特&&汤姆·费尔顿&&理查德·格雷弗斯&&费奥纳·肖&&托比·琼斯&&朱丽·沃特斯&&邦妮·怀特&&詹森·艾萨克&&肯尼思·布拉纳&&艾伦·瑞克曼&&理查德·哈里斯&&玛吉·史密斯&&约翰·克立斯&&肖恩·比格斯代夫&&克里斯·兰金&&克里斯蒂安·库尔森,奇幻&&冒险,美国,161,8.6,403690
素媛,李濬益,薛景求&&严志媛&&李来&&金海淑&&金相浩&&罗美兰&&杨真诚&&权泰元,剧情,韩国,122,9.2,436690
中国机长,刘伟强,张涵予&&欧豪&&杜江&&袁泉&&张天爱&&李沁&&雅玫&&杨祺如&&高戈&&黄志忠&&朱亚文&&李现&&焦俊艳&&吴樾&&阚清子&&李岷城&&冯文娟&&陈数&&杨颖&&余皑磊&&关晓彤&&刘浩&&伊拉尔·帕萨&&亚历克斯·皮希汀&&赵亮&&周波,剧情&&灾难,中国大陆,111,6.7,571478
