电视剧名称,导演,主演,类型,制片国家/地区,年份,评分,评价人数
清道夫,戴维·霍兰德,迈克尔·吉尔&&格雷厄姆·罗杰斯&&列维·施瑞博尔&&莉莉·西蒙斯&&苏珊·萨兰登&&瑞斯·考罗&&阿迪纳·波特&&霍莉·林奇,剧情,美国,2017,8.3,599
高墙边的混乱,AviIssacharoff,奈塔嘉利特&&萨利姆道&&乌瑞·加夫利尔&&Lior Raz&&Hisham Suliman&&Shadi Mar'i&&拉蒂·蒂亚&&Itzik Cohen&&Yuval Segal&&Hanan Hillo&&Tomer Kapon&&Tsahi Halevi&&Rona-Lee Shim'on&&Boaz Konforty&&Doron Ben-David&&Mel Malka,剧情&&动作&&惊悚,以色列,2015,8.3,175
单身毒妈,杰姬·科恩,玛丽-露易丝·帕克&&伊丽莎白·帕金斯&&贾斯汀·柯克&&杰弗里·迪恩·摩根,剧情&&喜剧&&家庭&&犯罪,美国,2005,8.2,7330
星之金币,吉野洋,酒井法子&&大泽隆夫&&竹野内丰&&伊武雅刀&&龙雷太&&酒井和歌子&&田中美佐子&&细川直美&&户田菜穗&&田中美奈子,剧情&&爱情,日本,1995,8.2,5800
北京夏天,宫晓东,曹颖&&罗葳&&黄海冰&&王彤&&陈羽凡&&高虎&&高蓓蓓,爱情,中国大陆,1996,8.2,3318
妙女神探,安吉·哈蒙,安吉·哈蒙&&萨莎·亚历山大&&约旦·布里奇斯&&李·汤普森·扬&&布鲁斯·麦克吉尔&&洛南·布雷科,剧情&&悬疑&&犯罪,美国,2012,8.2,2843
肯尼迪家族,强·卡萨,杰克·比尔&&克莉丝汀·布丝&&蕾切尔·威尔森&&巴里·佩珀&&舍治·哈德&&克里斯·迪亚曼托普洛斯&&克里斯丁·亚当斯&&凯蒂·霍尔姆斯&&汤姆·威尔金森&&Diana Hardcastle&&格雷戈·金尼尔,历史,美国,2011,8.2,3068
妙女神探,安吉·哈蒙,安吉·哈蒙&&萨莎·亚历山大,剧情&&悬疑&&犯罪,美国,2013,8.2,2137
蜀山奇侠,萧笙,杨宝玲&&李婉华&&李丽丽&&龚慈恩&&关礼杰,爱情&&奇幻&&武侠&&古装,中国香港,1990,8.2,1735
医家兄弟,申浩均,张东健&&李英爱&&孙昌敏&&李珉英,,韩国,1997,8.2,1566
天才,肯尼士·比勒,安东尼奥·班德拉斯&&克蕾曼丝·波西&&亚力克斯·里奇&&萨曼莎·科利&&波比·迪瓦伊&&罗伯特·席安&&大卫·威尔莫特&&詹迪·莫拉&&查理·卡里克&&塞巴斯蒂安·罗奇&&阿德里安·席勒&&威尔·基恩&&艾斯琳·弗兰乔茜,剧情&&传记&&历史,美国,2018,8.2,1781
追影逐凶,克里斯托弗·梅诺尔,里斯·谢尔史密斯&&阿莉克丝·金斯顿&&诺埃尔·克拉克&&唐·沃灵顿&&阿卓艾·安多&&Alfie Field&&利蒂希娅·赖特&&Sophia Capasso&&艾略特·提特恩索&&Ian Pead&&道格·艾伦,剧情&&惊悚,英国,2014,8.2,1560
加州靡情,JohnDahl,大卫·杜楚尼&&娜塔莎·麦克艾霍恩&&帕梅拉·阿德龙&&玛德琳·马丁&&卡米拉·卢丁顿,剧情&&喜剧,美国,2012,8.2,1239
顺藤而上的你,金亨植,金南珠,剧情&&家庭,韩国,2012,8.2,1231
真爱还是困惑,KooEkkasitTrakulkasemsuk,Toni Iera Rakkaen&&Tao Setthapong,爱情,泰国,2017,8.2,768
美式主妇,克里斯·科赫,凯蒂·米克松&&戴德里克·巴德&&梅格·唐纳利&&丹尼尔·迪马吉奥&&茱莉亚·巴特斯&&黄阿丽&&Carly Hughes,喜剧,美国,2017,8.2,615
隋唐演义,张华勋,郑爽&&陈锐&&邵峰&&黄海冰,剧情&&历史&&战争&&古装,中国大陆,1996,8.2,592
社交网络,葵咪莎拉·普碟,葵咪莎拉·普碟&&提顶·玛哈由踏纳&&抔米提·米弯投瓦兰&&娜帕拉·吉拉威宋誊功,剧情,泰国,2018,8.2,465
羞耻(比利时版),CeciliaVerheyden,Femke Van Der Steen&&Nathan Bouts&&Willem Herbots&&Nona Janssens&&Veerle Dejaeger&&Yara Veyt,剧情&&爱情&&短片,比利时,2018,8.2,363
我的街区,尼克·艾沃斯-斯文德尔,尼克·艾沃斯-斯文德尔&&马里亚诺·门多萨&&Briana Liu&&Ezekiel Pacheco,喜剧,美国,2020,8.2,64
人生,谷村政树,北乃绮&&福田沙纪&&细田善彦&&大泽茜&&星井七濑&&末永遥&&中村静香&&夏目铃&&北条隆博&&中村伦也&&山田健太&&上村千夏&&平野早香&&关惠美&&酒井美纪&&濑户朝香&&真矢美纪&&中别府葵&&池田光咲&&西田奈津美,剧情,日本,2007,8.1,8119
潘尼沃斯,丹尼·加农,杰克·巴农&&本·奥德里基&&帕洛玛·费丝&&艾玛·科林&&瑞恩·弗莱彻&&海恩斯利·劳埃德·班纳特&&杰森·弗莱明&&多萝西·阿特金森&&伊恩·普莱斯顿-戴维斯&&理查德·克洛西尔&&波利·沃克&&艾玛·帕茨&&哈里特·斯莱特&&杰西卡·埃勒比&&本·威金斯&&拉蒙·蒂卡拉姆&&梅丽莎·纳奇布尔&&西蒙·戴伊&&马诺伊·阿南德&&安娜·钱斯勒&&布鲁斯·约翰逊&&尼克·欧文福特&&丹尼·韦伯&&萨姆·霍尔&&奈杰尔·贝茨&&马丁·萨维奇&&亚历克斯·米尔斯&&莎拉·弗林德&&尤安·迈克纳顿&&马库斯·史密斯,剧情&&动作&&犯罪,美国,2019,8.1,3216
漫长归途,菲尔·亚伯拉罕,E·J·博尼拉&&达流士·胡马云&&乔恩·比弗斯&&乔伊·卢曼&&乔什·布雷洛克&&豪尔赫·迪亚斯&&富兰克林·西尔维奥&&约书亚·布伦南&&托马斯·麦克唐纳&&洛瓦托帕尔默&&查利·帕里什&&迈克贝德福德&&德文·普拉西德&&诺尔·费舍&&杰瑞米·西斯托&&杰森·雷特&&凯特·波茨沃斯&&莎拉·韦恩·卡丽丝&&凯瑟琳·威利斯,剧情&&历史&&战争,美国,2017,8.1,2754
徒步7分,中島由貴,田中丽奈&&田中圭&&福士诚治&&菜叶菜&&石野真子&&青山美乡,剧情,日本,2015,8.1,2326
地狱之轮,大卫·凡·安肯,科尔姆·米尼&&安松·蒙特&&多米妮克·麦克艾丽戈特,动作&&历史&&犯罪&&西部,美国,2011,8.1,1971
房前屋后,尚敬,周小斌&&闫妮&&姚晨&&佟悦&&代乐乐&&商子见&&宫景华&&白志迪&&张绍荣&&喻恩泰&&倪虹洁&&洪剑涛,剧情,中国大陆,2007,8.1,1448
少男奶爸,让-卢克·比洛多,让-卢克·比洛多&&塔吉·莫里&&切尔西·斯特伯&&梅莉莎·彼得曼&&德雷克·迪勒,剧情&&喜剧,美国,2016,8.1,913
日出,谢飞,徐帆&&斯琴高娃&&郭宝昌&&马跃&&许还山,,中国大陆,2002,8.1,800
赛罗奥特曼格斗第二部,阿部雄一,宮野真守&&浅沼晋太郎&&関 智一&&緑川 光,动作&&科幻,日本,2012,8.1,440
逆贼：偷百姓的盗贼,김진만,金相中&&尹均相&&金知硕&&李荷妮&&蔡秀彬&&安内相&&申恩廷&&金正泰,剧情,韩国,2017,8.1,505
恋恋主播情,安德鲁·格莱格森,安德鲁·格莱格森&&沃拉娜特·旺萨莞,剧情&&爱情,泰国,2019,8.0,69
丑女贝蒂,SarahPiaAnderson,America Ferrera&&Eric Mabius&&Alan Dale,剧情&&喜剧,美国,2007,8.0,5669
候车室的故事,英达,英壮&&赵玲琪&&杨青,剧情&&喜剧,中国大陆,2002,8.0,1767
Switch-改变世界,南泰镇,张根硕&&韩艺璃&&郑雄仁&&曹熙奉&&权华焕&&李政吉&&宋元锡&&朴元尚&& 裴民熙&&孙炳昊&&金曙罗&&安圣焕&&申度贤&&崔载元,剧情,韩国,2018,8.0,2307
树大根深,张太维,张赫&&韩石圭&&白承焕&&李在龙&&安锡焕&&宋钟基&&尹济文&&赵镇雄&&金基范 Ki-bum Kim&&白承焕 Seung-Hwan Baek,剧情&&历史,韩国,2011,8.0,1643
来生不做香港人,陆天华,张可颐&&刘美君&&潘灿良&&曾伟权&&林利&&高皓正&&龚慈恩,剧情&&家庭,中国香港,2014,8.0,1618
东周列国·战国篇,阎建钢,曹培昌&&樊志起&&杨童舒&&温海波&&温海涛&&高兰村&&李洪涛&&杜志国&&蒋恺&&李振平,剧情&&传记&&历史&&战争&&古装,中国大陆,1997,8.0,1428
热血青春,黄克敏,张一山&&蓝盈莹&&张潇恒&&王莎莎&&吴京安&&张哲&&宋佳伦&&袁晓旭&&王翔弘&&来喜&&那志东&&李心敏&&李蓓蕾&&孙桂田&&万弘杰&&李玉峰&&毕秀茹&&王刚&&蒋雯丽&&钟雨彤&&孙继峰&&杜晓涛&&张词&&姚懿恩&&郭鑫&&李天涯&&邱泉&&石尚&&游乐儿&&吴思雨&&魏靖&&姚心通&&郭思彤&&陆聪&&刁伟光&&郭海强&&傅国栋&&王新华&&杨传喜&&王森,剧情&&战争,中国大陆,2015,8.0,1399
羞耻(美版),尤莉娅·安德姆,朱莉·罗查&&肯尼迪·赫尔曼森&&谢尔比·苏丹&&瓦莱里娅·维拉&&乔瓦尼·牛波&&拉凯莎·斯莱德&&提尔·西蒙,剧情,美国,2019,8.0,467
恋歌,张健,张若昀&&吴婷&&陈奕龙&&周庭伊&&李玲玉&&芮伟航,剧情&&爱情,中国大陆,2013,8.0,403
从海底出击,安德烈亚斯·普罗查斯卡,菲利普·比林斯蒂尔&&薇姬·克里普斯&&汤姆·拉斯齐哈&&蒂埃里·弗雷蒙&&奥古斯特·维特根斯坦&&伦纳德·施彻&&弗兰茨·丁达&&弗蕾尔·格夫里尔&&奥利维埃·钱特里奥&&赖纳·博克&&皮特·布科夫斯基&&丽兹·卡潘&&罗伯特·施塔德洛伯&&本·默肖&&Joachim Foerster&&朱利叶斯·费梅尔&&伦纳德·昆兹&&马文·林克&&格雷戈里·加迪诺尔&&里克·奥肯&&史特凡·柯纳斯克&&文森特·卡塞瑟&&克拉拉·庞索&&马克斯·施梅尔普芬尼希&&奥利维耶·克拉弗里&&詹姆斯·达西&&伊莲娜·瑟扎雷&&Jérémie Covillault&&皮尔·基维特&&安德烈·彭文&&雅酷朴·盖尔秀&&凯文·麦克纳利&&斯坦奇·艾塞克&&Attila Borlan&&埃里克·鲍尔,剧情&&战争,德国,2018,8.0,459
假面骑士Brain,山口恭平,松岛庄汰&&クリス・ペプラー&&马场富美加&&蕨野友也&&稻叶友,,日本,2019,8.0,225
谁家灶头无烟火,徐遇安,岳华&&田蕊妮&&欧锦棠&&马海伦&&龚嘉欣&&陈智燊,喜剧&&家庭,中国香港,2011,7.9,3011
茶是故乡浓,刘仕裕,张可颐&&麦长青&&杨婉仪&&元华&&林家栋&&苏玉华,爱情,中国香港,1999,7.9,2092
妙手情天,李镇锡,安在旭&&金喜善&&秋相美,,韩国,1998,7.9,1679
日落紫禁城,郭宝昌,斯琴高娃&&刘若英&&朱旭&&雷恪生&&蒋雯丽&&曹颖&&黄海冰&&邱心志,爱情&&历史&&古装,中国大陆,1998,7.9,1447
欢迎来到瑞典,格雷格·波勒,格雷格·波勒&&莉娜·奥琳&&伊里纳·道格拉斯&&帕特里克·杜菲&&约瑟芬·伯恩布什,喜剧,美国,2014,7.9,1685
雪花那个飘,安建,张译&&刘威葳&&齐欢&&毛孩&&潘雨辰&&涂松岩&&赵君&&丁勇岱&&白志迪&&王丽云&&王志华&&牛飘&&冯雷&&舒耀瑄&&刘洁&&解惠清&&周知&&徐梵溪&&周璞,剧情,中国大陆,2010,7.9,1582
多情刀客无情刀短刀行,鞠觉亮,张卫健&&刘玉婷&&林小楼,喜剧&&动作&&武侠&&古装,中国台湾,2001,7.9,918
鲜花宝座,马里奥·毛瑞尔,马里奥·毛瑞尔&&札玲朋·尊克迪&&卡维·丹扎拉岚,剧情,泰国,2017,7.9,952
临时制先生,成容日,尹均相&&琴赛璐&&崔有华&&李濬荣&&崔圭真&&韩素恩 &&金明智&&张东柱&&多恩&&秉宪,剧情&&犯罪,韩国,2019,7.9,991
电脑娃娃,林丛,阿雅&&高亮&&胡奥&&巴戈&&黄爱玲&&陈创&&苑冉&&胡轩豪&&高亚麟&&张子枫,喜剧,中国大陆,2008,7.9,308
老鹰队,AmandaAdolfsson,Alva Bratt&&Sarah Gustafsson&&Edvard Olsson&&Yandeh Sallah&&Adrian Öjvindsson&&Per Lasson&&Jakob Gartner&&David Lindgren&&Linnea Persson&&Charlotta Jonsson&&Simon Ådvall&&Albin Grenholm&&Robert Pukitis,剧情,瑞典,2019,7.9,110
小原不哭,菅原伸太郎,长濑智也&&麻生久美子&&丸山隆平&&忽那汐里&&药师丸博子&&贺来贤人&&菅田将晖&&清水优&&稲川実代子&&小松和重&&甲本雅裕&&奥贯薫&&光石研&&白石加代子,剧情&&喜剧&&爱情,日本,2013,7.8,6031
不过是先出生的我,水田伸生,樱井翔&&苍井优&&濑户康史&&木南晴夏&&森川葵&&平山浩行&&池田铁洋 Tetsuhiro Ikeda&&木下邦家 Houka Kinoshita&&多部未华子&&井川遥&&荒川良良&&秋山菜津子&&高岛政伸&&风间杜夫&&铃木绘里香,剧情&&喜剧&&爱情,日本,2017,7.8,6078
美女上错身,哈依玛·华盛顿,杰克逊·赫斯特&&艾普尔·鲍白&&本·费德曼&&布洛克·艾略特&&卡特·麦金太尔,剧情&&喜剧,美国,2012,7.8,4199
怪谈新耳袋,清水崇,内山理名&&坂井真纪&&植松夏希&&星野真里&&井上晴美&&北村一辉&&山本彩乃&&奥贯薫&&大森南朋&&石野真子&&冈本信人&&三轮明日美&&要润&&水桥研二&&尾野真千子&&田畑智子&&有坂来瞳,恐怖&&短片,日本,2003,7.8,3495
我的兄弟姐妹,俞钟,李幼斌&&刘晓庆&&杨恭如&&何冰&&崔林&&周韵&&李尚义&&景岗山&&王奎荣&&石兆琪&&吕凉&&石云鹏&&杨丽晓&&林静,剧情,中国大陆,2004,7.8,2730
家产,张汉杰,刘莉莉&&贾乃亮&&孙松&&赵君&&范雷&&杨青&&王之夏&&柴鸥&&李光复&&林家川&&午马&&邓家佳&&姚美伊&&杨雯雯&&陈承&&屠夏岩&&姜邵文,家庭,中国大陆,2011,7.8,2163
追凶,马克·埃文斯,马丁·克鲁勒斯&&凯蒂·里昂丝&&克劳迪·布莱克利&&斯蒂芬·怀特&&史蒂夫·弗斯特&&杰伊·泰勒&&菲利普·麦金利&&尼古拉斯·本恩斯&&塞林·琼斯&&安娜·伯内特&&克里斯托弗·富尔福德&&鲁斯·贝恩&&卡拉·西奥博尔德&&劳埃德·哈钦森&&鲁弗斯·赖特&&丹尼尔·弗恩&&迈克尔·古尔德&&齐亚德·阿巴扎&&基拉·贝尔,剧情&&犯罪,英国,2019,7.8,1598
小神的孩子们,姜信孝,姜至奂&&金玉彬&&沈熙燮&&李伊利雅&&张光&&李在勇&&李孝正&&安吉江&&金亨范&&延济亨&&周锡泰&&黄炳国&&金钟寿&&康相元&&林一圭&&朴素恩&&金东英&&金思恩&&洪书英&&李泰亨&&白胜贤&&孙荣顺&&金旻修&&申承焕&&韩智恩&&Choo Yeon-gyoo &&朴尚赫&&刘贞莱&&沈素英&&李新罗美&&金基天&&孙康国&&白秀莲&&吉政佑&&韩叙真&&金暻爱&&卞周贤&& 徐庆花,悬疑&&犯罪&&奇幻,韩国,2018,7.8,1658
鬼校亡友,KriangkraiVachiratamporn,西拉差·坚他文&&苏卡达·顾珑希&&朱塔吾·帕塔拉刚普&&苼楠塔茬·塔纳潘披散&&Napat Chokejindachai&&Apasiri Nitibhon&&Sutatta Udomsilp&&甘·纯郝哇&&Jirawat Wachirasarunpat&&Chantana Kittiyapan&&Artthapan Poolsawad,恐怖,泰国,2014,7.8,1371
大哥大姐没出息,克里斯·凯利,Drew Tarver&&海伦娜·约克&&Case Walker&&莫莉·香侬&&肯·马里诺,喜剧,美国,2019,7.8,1279
天师钟馗,区玉盛,金超群&&范鸿轩&&杨丽菁&&林心如&&孙兴&&王思懿&&贾静雯&&岳翎&&邱心志&&翁虹&&恬妞,武侠&&古装&&鬼怪,中国台湾,1994,7.8,984
灰色彩虹,ไผ่-บุญญาวัฒน์ธงทอง-,Karn KPN&&นัท ณัชพ,剧情&&爱情&&同性,泰国,2016,7.8,884
金水桥边,刘飚,黄志忠&&倪大红&&李幼斌&&李乃文&&柯蓝,剧情,中国大陆,2016,7.8,845
异世界危机,詹姆斯·班福德,格兰特·古斯汀&&梅莉莎·班诺伊&&斯蒂芬·阿梅尔&&泰勒·霍奇林&&丹妮尔·帕娜贝克&&卡洛斯·瓦尔德斯&&鲁比·罗丝,动作&&科幻,美国,2018,7.8,601
远征远征,吴斌,张丰毅&&沈培艺&&万思维&&张世会&&曹操&&丁勇岱&&高一玮&&薛皓文&&杨淇&&向甜&&常戎&&王伯昭&&王德顺&&王佳宁&&邢岷山&&王海平&&王姬&&黄梅莹&&刘冠麟,剧情&&战争,中国大陆,2015,7.8,538
奥特银河大怪兽之战,菊地雄一,南翔太&&小西博之&&上良早纪&&八戸亮&&俊藤光利&&蒲生麻由,冒险,日本,2007,7.8,369
和歌子酒,久万真路,武田梨奈,,日本,2019,7.8,384
同事儿一箩筐,MiaLidofsky,Zoe Chao&&梅瑞迪斯·海格纳&&布瑞达·伍尔,喜剧,美国,2017,7.8,139
火星,森雅弘,中山裕介&&优香,悬疑,日本,2016,7.7,6351
再见艳阳天,叶昭仪,邓萃雯&&陈秀雯&&商天娥&&马景涛&&秦沛&&戴梦梦&&李香琴&&南红&&鲍起静&&邵美琪&&谭炳文&&杜汶泽&&黄韵材,剧情&&爱情,中国香港,1996,7.7,2847
候车大厅,英达,方青卓&&英壮&&杨青,剧情&&喜剧,中国大陆,1997,7.7,2263
奇幻潮,陈旭亮,郑伊健&&司徒瑞祈&&傅颖&&吴日言&&李雨阳&&朱咪咪&&黎诺懿&&梁靖琪&&韩君婷&&佘诗曼&&胡诺言&&杨思琦&&麦长青&&许文翘&&袁彩云&&邓健泓&&唐诗咏&&傅子欣&&范振锋&&杨爱瑾&&戴梦梦&&邓颖芝&&梁洛施&&吴浩康&&黄智贤&&雷凯欣&&陈美诗&&梁咏琪&&李思捷&&陈文媛&&钟嘉欣&&姚嘉妮&&罗敏庄&&萧正楠&&张咏妍&&谢天华&&徐子珊&&罗冠兰&&黎耀祥&&胡定欣&&马蹄露&&陈宇琛&&郑子诚&&黄又南&&徐天佑&&蒋志光&&薛家燕&&黄宗泽&&钱嘉乐&&黎宣&&郑希怡&&高皓正&&刘浩龙&&官恩娜&&李蕴&&蔡子健&&陈霁平&&蒋雅文&&李逸朗&&张美妮&&陈自瑶&&吴家乐&&嘉碧仪&&郭芯其&&黄伊汶&&黄婉伶&&黄婉君&&蔡淇俊&&蔡洁雯&&陈勉良&&罗天池&&张雪芹&&黄榕&&邵卓尧&&刘天龙&&魏惠文&&曾守明&&曾健明&&赵永洪&&何绮云&&简慕华&&林淑敏&&敖嘉年&&何启南&&李鸿杰&&罗泳娴&&徐荣&&蔡国庆&&郑家生&&麦子乐&&杨卓娜&&潘芳芳&&李成昌&&方伊琪&&李子奇&&刘桂芳,惊悚&&恐怖,中国香港,2005,7.7,2030
十七岁,刘慧仁,刘慧仁&&金道烷&&金斗丽&&姜律&&沈柱侠,剧情,韩国,2017,7.7,809
赛罗奥特曼外传,アベユーイチ,南翔太&&土屋太鳳&&俊藤光利&&小西博之,动作&&科幻,日本,2011,7.7,787
戏说慈禧,范秀明,丛珊&&何晴&&翁家明&&马景涛&&崔浩然,剧情&&传记,中国台湾,1992,7.7,705
梦比优斯奥特曼外传,佐野智樹,五十嵐隼士&&仁科克基&&三好真&&斉川あい&&渡辺大輔,科幻,日本,2008,7.7,558
查龙药师,ChudapaChantakett,马里奥·毛瑞尔&&Kimberley Anne Tiamsiri,剧情&&喜剧&&爱情,泰国,2019,7.7,593
全知,JúliaPachecoJordão,Marcello Airoldi&&Guilherme Prates,剧情&&科幻,巴西,2020,7.7,243
好女孩,克里斯蒂娜·亨德里克斯,克里斯蒂娜·亨德里克斯,剧情&&喜剧&&犯罪,美国,2020,7.7,143
最美丽的第七天,王心慰,郑嘉颖&&周励淇&&黄宗泽&&唐诗咏,爱情,中国香港,2008,7.6,7182
快刀洪吉童,李正燮,姜至奂&&成宥利&&张根硕&&金丽娜&&张瑾惜,喜剧&&爱情,韩国,2008,7.6,5414
23号公寓的坏女孩,JasonWiner,克里斯滕·里特&&詹姆斯·范德比克&&德瑞玛·沃克,喜剧,美国,2012,7.6,4898
曼哈顿爱情故事,MichaelFresco,杰克·麦克道曼&&安娜丽·提普顿,喜剧,美国,2014,7.6,4452
星星知我心,林福地,吴静娴&&张鹏&&石安妮&&弯弯&&苏慧伦&&韩苏&&郝曼丽&&杨兴&&方向中&&小彬彬&&马如风&&田丰&&庄元庸&&崔福生&&陶述&&文英&&文英&&林娟&&吕耀华&&卓胜利&&丁也恬&&洪流&&梅芳&&杨力&&阮虔芷&&吴国良&&钱璐&&王成立&&丁玫&&鲁直&&吴燕&&张万霞,剧情,中国台湾,1984,7.6,3116
便衣警察,林汝为,胡亚捷&&宋春丽&&谭小燕&&申军谊&&白志迪,剧情&&家庭,中国大陆,1987,7.6,2075
老马家的幸福往事,杨文军,林永健&&何赛飞&&辛柏青&&于和伟&&蔡君茹&&涂松岩&&陈紫函&&李立群&&李光洁&&王菁华&&吴秀波&&牛飘&&刘向京&&张晞临&&淳于珊珊&&高晓菲,剧情&&家庭,中国大陆,2010,7.6,1771
第五空间,张蠡,蒲巴甲&&郑罗茜&&王强&&贺刚&&万思维&&吴昱翰&&刘思言&&吕一丁&&汪裴,剧情&&爱情&&科幻&&战争,中国大陆,2010,7.6,1303
国务卿女士,摩根·弗里曼,蒂娅·里欧妮&&蒂姆·达利&&基思·卡拉丹&&帕蒂纳·雷内亚·米勒&&吉奥弗瑞·阿伦德&&埃里克·贝尔根&&塞巴斯蒂安·阿塞勒斯&&瓦莉斯·柯里-伍德&&泽利科·伊万内克&&毕比·诺维尔什&&J.C.麦肯泽&&卡洛斯·戈麦斯&&Kathrine Herzer&&Evan Roe&&Kobi Libii,剧情,美国,2016,7.6,1256
病毒,崔荣秀,严基俊&&金显祐&&朴敏雨&&李己雨,剧情&&悬疑,韩国,2013,7.6,1369
老牛家的战争,余淳,张洪杰&&宋丹丹&&秦卫东&&周冬齐&&李崇霄&&姜妍&&王澜&&巴多,剧情&&家庭,中国大陆,2010,7.6,1049
边隧谜案,希提·麦克唐纳,克蕾曼丝·波西&&斯蒂芬·迪兰&&塞德里克·维埃拉&&安琪儿·库碧&&蒂博·德·蒙塔朗贝尔&&卡罗尔·斯蒂尔&&西格丽·博阿茨兹&&杰克·劳登&&Tobi Bakare&&Thibaut Evrard&&威廉·阿什&&朱丽叶·纳维斯,剧情&&悬疑&&犯罪,英国,2013,7.6,824
接线女孩,CarlosSedes,纳迪娅·德·圣地亚哥&&安娜·波沃罗萨&&布兰卡·苏亚雷斯&&玛吉.斯班多斯,剧情,西班牙,2017,7.6,893
黑色校规,菅原伸太郎,佐藤胜利&&高桥海人&&莫托拉·世理奈&&堀田真由&&箭内梦菜&&坂井真纪&&光石研&&绪方义博&&药师丸博子,剧情,日本,2019,7.6,734
人生第二春,PamFryman,帕翠西亚·希顿&&卢卡斯·内夫&&让-卢克·比洛多&&阿什丽·提斯代尔&&凯尔·麦克拉克伦&&塞德里克·亚伯勒&&卡米利·陈&&卡罗尔·曼塞尔&&安迪·福瑞斯特&&Ito Aghayere&&Sabrina Jalees&&David Carrera&&Matt Braunger&&Mike Monteleone&&Rashawn Nadine Scott&&Steven Allerick&&Denisse Schwartz,喜剧,美国,2019,7.6,502
圣哥传,福田雄一,松山研一&&染谷将太,,日本,2019,7.6,329
索菲娅,VyacheslavRoss,玛丽娅·安德列娃&&维伦·巴比切夫,剧情&&历史,俄国Russia,2016,7.6,326
比舍堂远比议政府近,李秀智,金彩恩&&金旭&&한소은&&무진성&&武镇圣,爱情,韩国,2018,7.6,236
蜂蜜与四叶草,谷村政树,成海璃子&&生田斗真&&原田夏希&&向井理&&成宫宽贵&&柏原崇&&泷泽沙织&&村上淳&&濑户朝香&&泉谷茂&&松重丰&&前川泰之,剧情,日本,2008,7.5,11768
抹布女孩,片山修,北川景子&&谷原章介&&高冈奏辅&&浅见伶奈&&夏菜&&佐藤二朗&&本田博太郎,剧情&&爱情&&奇幻,日本,2007,7.5,4534
阿南的小情人,佐藤嗣麻子,深田恭子&&二宫和也&&田边诚一&&宫地真绪&&安倍麻美&&西村雅彦&&名取裕子&&北村总一朗,剧情&&喜剧&&爱情&&奇幻,日本,2004,7.5,3171
我与尾巴与神乐坂,深川荣洋,相叶雅纪&&广末凉子&&尾形一成&&小泷望&&加藤和子&&趣里&&渚&&大仓孝二&&矢柴俊博&&村上淳,剧情,日本,2018,7.5,3077
拥抱星星的月亮,丁黑,辛芷蕾&&唐曾&&代旭&&李沁谣&&奚望&&盛冠森&&陶灏景&&李岷城&&周宸佳&&郭凯敏&&张晨光&&张彤&&张博&&刘洁&&史可,剧情&&家庭,中国大陆,2015,7.5,2162
那样芬芳,安建,宋佳&&郭京飞&&耿乐&&冯雷&&黄梅莹&&吕凉&&刘洋&&吴玉芳&&蒋依依,剧情&&爱情,中国大陆,2012,7.5,1736
最完美的离婚,柳贤基,车太贤&&裴斗娜&&李艾&&孙锡久&&魏化儁&&南基爱&&金彩恩&&崔政宇&&劉炯官&&金贺恩&&河允庆&&宋智浩,剧情,韩国,2018,7.5,2065
军歌嘹亮,李舒,孙红雷&&陈小艺&&邢佳栋&&崔可法&&张晗,剧情&&爱情&&家庭,中国大陆,2002,7.5,1341
北平往事,王瑞,韩雪&&何冰&&杨若兮&&窦智孔&&刘威&&陈道明&&蔡裴琳&&邹廷威&&赵静&&李凤绪&&廖晓琴&&宋佳&&倪景阳&&朱泳腾&&康爱石&&郭德纲&&于谦,剧情&&爱情,中国大陆,2007,7.5,1285
大学生士兵的故事,尚敬,王磊&&徐海乔&&顾宇峰&&孙晓鹏&&金为珩&&东靖川&&来喜&&刘思言&&陈维涵&&刘雨欣&&马程程&&袁媛&&王超&&谭涛&&黄澄澄&&程鹏&&沙溢&&毛孩&&刘芸杉&&张绍荣&&李晓强&&刘亚津&&洪剑涛&&张国丰&&张建新&&娄明&&林永健&&刘敏&&高亚麟&&郝江英&&王向明&&闫妮&&殷桃&&杨树泉&&李洲&&马以&&洪洋&&姜超&&温玉娟,喜剧,中国大陆,2011,7.5,970
法网伊人,谭朗昌,李克勤&&郭可盈&&谢天华&&吴绮莉&&陈秀茹&&欧锦棠&&刘卓琪&&蒋志光&&石修&&楚原&&林漪娸&&胡杏儿&&李炜祺&&邓浩光&&单立文,剧情,中国香港,2002,7.4,3460
夺命真夫,庄伟建,温兆伦&&林保怡&&苏玉华&&伍咏薇&&廖启智&&欧倩怡&&郭峰&&曾伟权,剧情&&悬疑&&惊悚&&犯罪,中国香港,2005,7.4,2231
达·芬奇的恶魔,彼得·霍尔,汤姆·莱利&&劳拉·哈德克&&艾略特·科万&&格雷格·奇林&&布莱克·瑞特森&&埃罗斯·维拉霍斯&&劳拉·普沃&&詹姆斯·福克纳&&伊恩·皮里&&阿金·加齐&&斯图尔特·斯卡德莫尔,剧情&&悬疑&&历史&&奇幻&&冒险,美国,2015,7.4,2021
