电视剧名称,导演,主演,类型,制片国家/地区,年份,评分,评价人数
叹息桥,李绍波,林保怡&&周家怡&&卫诗雅&&伍咏薇&&陈奂仁&&秦沛&&陆骏光&&潘灿良&&陈健朗&&黄定谦&&刘兆铭&&郭锋&&杨偲泳&&谈善言&&岑珈其&&唐宁&&黄文慧&&黄溢濠&&凌文龙&&艾威&&易健儿&&杨伟伦&&黄子澄&&梁诺妍&&邵美君&&刘皓岚,剧情&&悬疑,中国香港,2020,8.9,26704
谁是被害者,徐瑞良,张孝全&&许玮甯&&王识贤&&黄河&&李沐&&丁宁&&陈家逵&&郑人硕&&夏靖庭&&林心如,悬疑&&犯罪,中国台湾,2020,8.1,5475
好想做一次,特斯塔姆·莎佩罗,麦特里伊·拉玛克里斯南&&李·罗德里格斯&&雷蒙娜·杨&&贾伦·莱维森&&达伦·巴内特&&森德希·拉玛莫西&&普娜·贾甘纳坦&&本杰明·诺里斯&&芮查·莫佳妮&&亚当·沙皮罗&&马丁·马丁内兹&&克里斯蒂娜·卡尔切纳&&艾迪·刘&&迪诺·佩特拉&&艾塔娜·里纳布&&汉娜·斯坦因&&马克·科利尔&&安吉拉·金赛&&唐娜·派洛尼&&科科·布朗&&皮特·詹姆斯·史密斯&&迈克尔·巴达鲁科&&坦比·洛克&&约翰·麦肯罗&&安迪·萨姆伯格&&南希·纳什&&克莉塞尔·阿尔梅达&&凯文·加德纳&&索姆·卡皮拉&&阿尔蒂·曼,喜剧,美国,2020,7.7,3179
唐人街探案,柯汶利,邱泽&&张钧甯&&王真儿&&陈哲远&&程潇&&张艺上&&张颂文&&张世&&邓恩熙&&陈雨锶&&马伯骞&&李明轩&&崔雨鑫&&高叶&&黄恺杰&&戴墨&&马浴柯&&张国柱&&张睿家&&黄健玮&&施名帅&&高英轩&&丁春诚&&王可元&&叶熙祺&&索朗美淇&&谢闻轩&&汪洋&&张经伟&&田宜峰&&王宝强&&刘昊然&&肖央&&尚语贤,悬疑&&惊悚&&犯罪,中国大陆,2020,7.3,185224
梨泰院Class,金善允,朴叙俊&&金多美&&权娜拉&&刘在明&&李珠英&&金东希&&孙贤周&&金惠恩,剧情,韩国,2020,7.4,132578
王国,金成勋,朱智勋&&裴斗娜&&柳承龙&&金成圭&&全锡浩&&金相浩&&金惠濬&&许峻豪&&全智贤&&朴秉恩&&金太勋&&安宰弘,剧情&&动作&&惊悚,美国,2020,8.3,128700
三生三世十里桃花,林玉芬,杨幂&&赵又廷&&张智尧&&迪丽热巴&&高伟光&&张彬彬&&于朦胧&&连奕名&&黄梦莹&&祝绪丹&&刘芮麟&&代斯,剧情&&爱情&&奇幻,中国大陆,2017,6.5,202701
长安十二时辰,曹盾,雷佳音&&易烊千玺&&周一围&&芦芳生&&热依扎&&王鹤润&&杰曼·翰苏&&韩童生&&李媛&&余皑磊&&艾如&&蔡鹭&&赵魏&&冯嘉怡&&吕凉&&吴晓亮&&徐璐&&高叶&&王思思&&曲栅栅,剧情&&悬疑&&古装,中国大陆,2019,8.3,362800
我们与恶的距离,林君阳,贾静雯&&温升豪&&吴慷仁&&周采诗&&陈妤&&洪胜德&&曾沛慈&&林哲熹&&施名帅&&林予晞&&检场&&谢琼煖&&刘越逖&&谢丽金&&巴戈&&萧瑶&&于卉乔&&王可元&&刘修甫&&葛蕾&&严艺文&&林雨宣,剧情,中国台湾,2019,9.5,251168
仙剑奇侠传三,李国立,胡歌&&霍建华&&杨幂&&唐嫣&&刘诗诗&&林子聪&&黄志玮&&郭晓婷&&袁弘&&韩晓&&刘家辉&&岳跃利&&韩振华&&刘锐&&刘晓洁&&宋洋&&何彦霓&&邓立民&&赵卓娜&&宗峰岩&&公方敏&&刘长生,爱情&&奇幻&&武侠&&古装,中国大陆,2009,8.5,153451
